"State","jewishPopulation","jewishPopulationPerc","Pop"
"New York","1772470","0.0910","20365879"
"New Jersey","546950","0.0610","9388414"
"Massachusetts","293080","0.0430","7126375"
"Maryland","238600","0.0390","6257958"
"Connecticut","118350","0.0330","3612314"
"California","1187990","0.0300","39995077"
"Florida","657095","0.0300","22085563"
"Nevada","76300","0.0250","3185426"
"Illinois","297735","0.0230","12808884"
"Pennsylvania","434165","0.0230","13062764"
"Colorado","98400","0.0180","5922618"
"Rhode Island","18750","0.0180","1106341"
"Virginia","150595","0.0180","8757467"
"Delaware","15100","0.0160","1008350"
"Arizona","108075","0.0150","7303398"
"Ohio","151615","0.0130","11852036"
"Georgia","128720","0.0120","10916760"
"Missouri","64275","0.0110","6188111"
"Vermont","7865","0.0110","646545"
"Oregon","40650","0.0100","4318492"
"Washington","75350","0.0100","7901429"
"Maine","12550","0.0090","1369159"
"Michigan","87905","0.0090","10116069"
"Alaska","5750","0.0080","738023"
"Minnesota","65900","0.0080","5787008"
"New Hampshire","10120","0.0070","1389741"
"Kansas","17425","0.0060","2954832"
"New Mexico","12625","0.0060","2129190"
"Texas","176000","0.0060","29945493"
"Wisconsin","33455","0.0060","5935064"
"Hawaii","7100","0.0050","1474265"
"Nebraska","9350","0.0050","1988536"
"Indiana","25145","0.0040","6845874"
"North Carolina","45935","0.0040","10620168"
"Kentucky","12500","0.0030","4539130"
"Louisiana","14900","0.0030","4682633"
"South Carolina","16820","0.0030","5217037"
"Tennessee","22800","0.0030","7023788"
"Alabama","10325","0.0020","5073187"
"Iowa","5475","0.0020","3219171"
"Utah","5650","0.0020","3373162"
"Wyoming","1150","0.0020","579495"
"Arkansas","2225","0.0010","3030646"
"Idaho","2125","0.0010","1893410"
"Mississippi","1525","0.0010","2960075"
"Montana","1495","0.0010","1103187"
"North Dakota","400","0.0010","800394"
"Oklahoma","4425","0.0010","4000953"
"West Virginia","2310","0.0010","1781860"
"South Dakota","250","","901165"